value,total_removed,ground_removed,ground_removed_total,cone_removed
2.000000,0.000000,-nan,0.000000,-nan
2.044000,0.000000,-nan,0.000000,-nan
2.088000,0.000000,-nan,0.000000,-nan
2.132000,0.000000,-nan,0.000000,-nan
2.176000,0.000000,-nan,0.000000,-nan
2.220000,0.000000,-nan,0.000000,-nan
2.263999,0.000000,-nan,0.000000,-nan
2.307999,0.000000,-nan,0.000000,-nan
2.351999,0.000000,-nan,0.000000,-nan
2.395999,0.000000,-nan,0.000000,-nan
2.439999,0.000000,-nan,0.000000,-nan
2.483999,0.000000,-nan,0.000000,-nan
2.527999,0.000000,-nan,0.000000,-nan
2.571999,0.000000,-nan,0.000000,-nan
2.615999,0.000000,-nan,0.000000,-nan
2.659999,0.000000,-nan,0.000000,-nan
2.703999,0.000000,-nan,0.000000,-nan
2.747998,0.000000,-nan,0.000000,-nan
2.791998,0.000000,-nan,0.000000,-nan
2.835998,0.000000,-nan,0.000000,-nan
2.879998,0.000000,-nan,0.000000,-nan
2.923998,0.000000,-nan,0.000000,-nan
2.967998,0.000000,-nan,0.000000,-nan
3.011998,0.073022,-nan,0.074222,-nan
3.055998,0.073022,-nan,0.074222,-nan
3.099998,0.073022,-nan,0.074222,-nan
3.143998,0.073022,-nan,0.074222,-nan
3.187998,0.073022,-nan,0.074222,-nan
3.231997,0.073022,-nan,0.074222,-nan
3.275997,0.073022,-nan,0.074222,-nan
3.319997,0.073022,-nan,0.074222,-nan
3.363997,0.073022,-nan,0.074222,-nan
3.407997,0.073022,-nan,0.074222,-nan
3.451997,0.073022,-nan,0.074222,-nan
3.495997,0.073022,-nan,0.074222,-nan
3.539997,0.073022,-nan,0.074222,-nan
3.583997,0.073022,-nan,0.074222,-nan
3.627997,0.073022,-nan,0.074222,-nan
3.671997,0.073022,-nan,0.074222,-nan
3.715997,0.073022,-nan,0.074222,-nan
3.759996,0.073022,-nan,0.074222,-nan
3.803996,0.073022,-nan,0.074222,-nan
3.847996,0.073022,-nan,0.074222,-nan
3.891996,0.073022,-nan,0.074222,-nan
3.935996,0.073022,-nan,0.074222,-nan
3.979996,0.073022,-nan,0.074222,-nan
4.023996,0.369821,-nan,0.373656,-nan
4.067996,0.369821,-nan,0.373656,-nan
4.111996,0.369821,-nan,0.373656,-nan
4.155996,0.369821,-nan,0.373656,-nan
4.199996,0.369821,-nan,0.373656,-nan
4.243997,0.369821,-nan,0.373656,-nan
4.287997,0.369821,-nan,0.373656,-nan
4.331997,0.369821,-nan,0.373656,-nan
4.375997,0.369821,-nan,0.373656,-nan
4.419997,0.369821,-nan,0.373656,-nan
4.463997,0.369821,-nan,0.373656,-nan
4.507998,0.369821,-nan,0.373656,-nan
4.551998,0.369821,-nan,0.373656,-nan
4.595998,0.369821,-nan,0.373656,-nan
4.639998,0.369821,-nan,0.373656,-nan
4.683998,0.369821,-nan,0.373656,-nan
4.727998,0.369821,-nan,0.373656,-nan
4.771998,0.369821,-nan,0.373656,-nan
4.815999,0.369821,-nan,0.373656,-nan
4.859999,0.369821,-nan,0.373656,-nan
4.903999,0.369821,-nan,0.373656,-nan
4.947999,0.369821,-nan,0.373656,-nan
4.991999,0.369821,-nan,0.373656,-nan
5.035999,0.617763,-nan,0.625671,-nan
5.079999,0.617763,-nan,0.625671,-nan
5.124000,0.617763,-nan,0.625671,-nan
5.168000,0.617763,-nan,0.625671,-nan
5.212000,0.617763,-nan,0.625671,-nan
5.256000,0.617763,-nan,0.625671,-nan
5.300000,0.617763,-nan,0.625671,-nan
5.344000,0.617763,-nan,0.625671,-nan
5.388000,0.617763,-nan,0.625671,-nan
5.432001,0.617763,-nan,0.625671,-nan
5.476001,0.617763,-nan,0.625671,-nan
5.520001,0.617763,-nan,0.625671,-nan
5.564001,0.617763,-nan,0.625671,-nan
5.608001,0.617763,-nan,0.625671,-nan
5.652001,0.617763,-nan,0.625671,-nan
5.696002,0.617763,-nan,0.625671,-nan
5.740002,0.617763,-nan,0.625671,-nan
5.784002,0.617763,-nan,0.625671,-nan
5.828002,0.617763,-nan,0.625671,-nan
5.872002,0.617763,-nan,0.625671,-nan
5.916002,0.617763,-nan,0.625671,-nan
5.960002,0.617763,-nan,0.625671,-nan
6.004003,0.785512,-nan,0.796777,-nan
6.048003,0.785512,-nan,0.796777,-nan
6.092003,0.785512,-nan,0.796777,-nan
6.136003,0.785512,-nan,0.796777,-nan
6.180003,0.785512,-nan,0.796777,-nan
6.224003,0.785512,-nan,0.796777,-nan
6.268003,0.785512,-nan,0.796777,-nan
6.312004,0.785512,-nan,0.796777,-nan
6.356004,0.785512,-nan,0.796777,-nan
6.400004,0.785512,-nan,0.796777,-nan
6.444004,0.785512,-nan,0.796777,-nan
6.488004,0.785512,-nan,0.796777,-nan
6.532004,0.785512,-nan,0.796777,-nan
6.576005,0.785512,-nan,0.796777,-nan
6.620005,0.785512,-nan,0.796777,-nan
6.664005,0.785512,-nan,0.796777,-nan
6.708005,0.785512,-nan,0.796777,-nan
6.752005,0.785512,-nan,0.796777,-nan
6.796005,0.785512,-nan,0.796777,-nan
