value,total_removed,ground_removed,ground_removed_total,cone_removed
-1.000000,0.945579,0.963761,0.953497,0.035455
-0.995935,0.945579,0.963761,0.953497,0.035455
-0.991870,0.945579,0.963761,0.953497,0.035455
-0.987805,0.945579,0.963761,0.953497,0.035455
-0.983740,0.945579,0.963761,0.953497,0.035455
-0.979675,0.945579,0.963761,0.953497,0.035455
-0.975610,0.945579,0.963761,0.953497,0.035455
-0.971545,0.945579,0.963761,0.953497,0.035455
-0.967480,0.945579,0.963761,0.953497,0.035455
-0.963415,0.945579,0.963761,0.953497,0.035455
-0.959350,0.945579,0.963761,0.953497,0.035455
-0.955285,0.945579,0.963761,0.953497,0.035455
-0.951220,0.945579,0.963761,0.953497,0.035455
-0.947155,0.945579,0.963761,0.953497,0.035455
-0.943089,0.945579,0.963761,0.953497,0.035455
-0.939024,0.945579,0.963761,0.953497,0.035455
-0.934959,0.945579,0.963761,0.953497,0.035455
-0.930894,0.945579,0.963761,0.953497,0.035455
-0.926829,0.945579,0.963761,0.953497,0.035455
-0.922764,0.945579,0.963761,0.953497,0.035455
-0.918699,0.945579,0.963761,0.953497,0.035455
-0.914634,0.945579,0.963761,0.953497,0.035455
-0.910569,0.945579,0.963761,0.953497,0.035455
-0.906504,0.945579,0.963761,0.953497,0.035455
-0.902439,0.945579,0.963761,0.953497,0.035455
-0.898374,0.945579,0.963761,0.953497,0.035455
-0.894309,0.945579,0.963761,0.953497,0.035455
-0.890244,0.945579,0.963761,0.953497,0.035455
-0.886179,0.945579,0.963761,0.953497,0.035455
-0.882114,0.945579,0.963761,0.953497,0.035455
-0.878049,0.945579,0.963761,0.953497,0.035455
-0.873984,0.945579,0.963761,0.953497,0.035455
-0.869919,0.945579,0.963761,0.953497,0.035455
-0.865854,0.945579,0.963761,0.953497,0.035455
-0.861789,0.945579,0.963761,0.953497,0.035455
-0.857724,0.945579,0.963761,0.953497,0.035455
-0.853659,0.945579,0.963761,0.953497,0.035455
-0.849594,0.945579,0.963761,0.953497,0.035455
-0.845529,0.945579,0.963761,0.953497,0.035455
-0.841464,0.945579,0.963761,0.953497,0.035455
-0.837399,0.945579,0.963761,0.953497,0.035455
-0.833333,0.945579,0.963761,0.953497,0.035455
-0.833333,0.945579,0.963761,0.953497,0.035455
-0.829268,0.945579,0.963761,0.953497,0.035455
-0.825203,0.945579,0.963761,0.953497,0.035455
-0.821138,0.945579,0.963761,0.953497,0.035455
-0.817073,0.945579,0.963761,0.953497,0.035455
-0.813008,0.945579,0.963761,0.953497,0.035455
-0.808943,0.945579,0.963761,0.953497,0.035455
-0.804878,0.945579,0.963761,0.953497,0.035455
-0.800813,0.945579,0.963761,0.953497,0.035455
-0.796748,0.945579,0.963761,0.953497,0.035455
-0.792683,0.945579,0.963761,0.953497,0.035455
-0.788618,0.945579,0.963761,0.953497,0.035455
-0.784553,0.945579,0.963761,0.953497,0.035455
-0.780488,0.945579,0.963761,0.953497,0.035455
-0.776423,0.945579,0.963761,0.953497,0.035455
-0.772358,0.945579,0.963761,0.953497,0.035455
-0.768293,0.945579,0.963761,0.953497,0.035455
-0.764228,0.945579,0.963761,0.953497,0.035455
-0.760163,0.945579,0.963761,0.953497,0.035455
-0.756098,0.945579,0.963761,0.953497,0.035455
-0.752033,0.945579,0.963761,0.953497,0.035455
-0.747968,0.945579,0.963761,0.953497,0.035455
-0.743903,0.945579,0.963761,0.953497,0.035455
-0.739837,0.945579,0.963761,0.953497,0.035455
-0.735772,0.945579,0.963761,0.953497,0.035455
-0.731707,0.945579,0.963761,0.953497,0.035455
-0.727642,0.945579,0.963761,0.953497,0.035455
-0.723577,0.945579,0.963761,0.953497,0.035455
-0.719512,0.945579,0.963761,0.953497,0.035455
-0.715447,0.945579,0.963761,0.953497,0.035455
-0.711382,0.945579,0.963761,0.953497,0.035455
-0.707317,0.945579,0.963761,0.953497,0.035455
-0.703252,0.945579,0.963761,0.953497,0.035455
-0.699187,0.945579,0.963761,0.953497,0.035455
-0.695122,0.945579,0.963761,0.953497,0.035455
-0.691057,0.945579,0.963761,0.953497,0.035455
-0.686992,0.945579,0.963761,0.953497,0.035455
-0.682927,0.945579,0.963761,0.953497,0.035455
-0.678862,0.945579,0.963761,0.953497,0.035455
-0.674797,0.945579,0.963761,0.953497,0.035455
-0.670732,0.945579,0.963761,0.953497,0.035455
-0.666667,0.945579,0.963761,0.953497,0.035455
-0.666667,0.945579,0.963761,0.953497,0.035455
-0.662602,0.945579,0.963761,0.953497,0.035455
-0.658537,0.945579,0.963761,0.953497,0.035455
-0.654472,0.945579,0.963761,0.953497,0.035455
-0.650406,0.945579,0.963761,0.953497,0.035455
-0.646341,0.945579,0.963761,0.953497,0.035455
-0.642276,0.945579,0.963761,0.953497,0.035455
-0.638211,0.945579,0.963761,0.953497,0.035455
-0.634146,0.945579,0.963761,0.953497,0.035455
-0.630081,0.945579,0.963761,0.953497,0.035455
-0.626016,0.945579,0.963761,0.953497,0.035455
-0.621951,0.945579,0.963761,0.953497,0.035455
-0.617886,0.945579,0.963761,0.953497,0.035455
-0.613821,0.945579,0.963761,0.953497,0.035455
-0.609756,0.945579,0.963761,0.953497,0.035455
-0.605691,0.945579,0.963761,0.953497,0.035455
-0.601626,0.945579,0.963761,0.953497,0.035455
-0.597561,0.945579,0.963761,0.953497,0.035455
-0.593496,0.945579,0.963761,0.953497,0.035455
-0.589431,0.945579,0.963761,0.953497,0.035455
-0.585366,0.945579,0.963761,0.953497,0.035455
-0.581301,0.945579,0.963761,0.953497,0.035455
-0.577236,0.945579,0.963761,0.953497,0.035455
-0.573171,0.945579,0.963761,0.953497,0.035455
-0.569106,0.945579,0.963761,0.953497,0.035455
-0.565041,0.945579,0.963761,0.953497,0.035455
-0.560976,0.945579,0.963761,0.953497,0.035455
-0.556911,0.945579,0.963761,0.953497,0.035455
-0.552846,0.945579,0.963761,0.953497,0.035455
-0.548781,0.945579,0.963761,0.953497,0.035455
-0.544716,0.945579,0.963761,0.953497,0.035455
-0.540650,0.945579,0.963761,0.953497,0.035455
-0.536585,0.945579,0.963761,0.953497,0.035455
-0.532520,0.945579,0.963761,0.953497,0.035455
-0.528455,0.945579,0.963761,0.953497,0.035455
-0.524390,0.945579,0.963761,0.953497,0.035455
-0.520325,0.945579,0.963761,0.953497,0.035455
-0.516260,0.945579,0.963761,0.953497,0.035455
-0.512195,0.945579,0.963761,0.953497,0.035455
-0.508130,0.945579,0.963761,0.953497,0.035455
-0.504065,0.945579,0.963761,0.953497,0.035455
-0.500000,0.945579,0.963761,0.953497,0.035455
-0.500000,0.945579,0.963761,0.953497,0.035455
-0.495935,0.945579,0.963761,0.953497,0.035455
-0.491870,0.945579,0.963761,0.953497,0.035455
-0.487805,0.945579,0.963761,0.953497,0.035455
-0.483740,0.945579,0.963761,0.953497,0.035455
-0.479675,0.945579,0.963761,0.953497,0.035455
-0.475610,0.945579,0.963761,0.953497,0.035455
-0.471545,0.945579,0.963761,0.953497,0.035455
-0.467480,0.945579,0.963761,0.953497,0.035455
-0.463415,0.945579,0.963761,0.953497,0.035455
-0.459350,0.945579,0.963761,0.953497,0.035455
