value,total_removed,ground_removed,cone_removed,unassigned_removed
-10.000000,0.496766,0.844687,0.018792,0.136521
-9.800000,0.496766,0.844687,0.018792,0.136521
-9.600000,0.496766,0.844687,0.018792,0.136521
-9.400001,0.496766,0.844687,0.018792,0.136521
-9.200001,0.496766,0.844687,0.018792,0.136521
-9.000001,0.496766,0.844687,0.018792,0.136521
-8.800001,0.496766,0.844687,0.018792,0.136521
-8.600001,0.496766,0.844687,0.018792,0.136521
-8.400002,0.496766,0.844687,0.018792,0.136521
-8.200002,0.496766,0.844687,0.018792,0.136521
-8.000002,0.496766,0.844687,0.018792,0.136521
-7.800002,0.496766,0.844687,0.018792,0.136521
-7.600002,0.496766,0.844687,0.018792,0.136521
-7.400002,0.496766,0.844687,0.018792,0.136521
-7.200003,0.496766,0.844687,0.018792,0.136521
-7.000003,0.496766,0.844687,0.018792,0.136521
-6.800003,0.496766,0.844687,0.018792,0.136521
-6.600003,0.496766,0.844687,0.018792,0.136521
-6.400003,0.496766,0.844687,0.018792,0.136521
-6.200004,0.496766,0.844687,0.018792,0.136521
-6.000004,0.496766,0.844687,0.018792,0.136521
-5.800004,0.496766,0.844687,0.018792,0.136521
-5.600004,0.496766,0.844687,0.018792,0.136521
-5.400004,0.496766,0.844687,0.018792,0.136521
-5.200005,0.496766,0.844687,0.018792,0.136521
-5.000005,0.496766,0.844687,0.018792,0.136521
-4.800005,0.496766,0.844687,0.018792,0.136521
-4.600005,0.496766,0.844687,0.018792,0.136521
-4.400005,0.496766,0.844687,0.018792,0.136521
-4.200006,0.496766,0.844687,0.018792,0.136521
-4.000006,0.496766,0.844687,0.018792,0.136521
-3.800006,0.496766,0.844687,0.018792,0.136521
-3.600006,0.496766,0.844687,0.018792,0.136521
-3.400006,0.496766,0.844687,0.018792,0.136521
-3.200006,0.496766,0.844687,0.018792,0.136521
-3.000005,0.496766,0.844687,0.018792,0.136521
-2.800005,0.496766,0.844687,0.018792,0.136521
-2.600005,0.496766,0.844687,0.018792,0.136521
-2.400005,0.496766,0.844687,0.018792,0.136521
-2.200005,0.496766,0.844687,0.018792,0.136521
-2.000005,0.496766,0.844687,0.018792,0.136521
-1.800005,0.496766,0.844687,0.018792,0.136521
-1.600005,0.496766,0.844687,0.018792,0.136521
-1.400005,0.496766,0.844687,0.018792,0.136521
-1.200005,0.496766,0.844687,0.018792,0.136521
-1.000005,0.496766,0.844687,0.018792,0.136521
-0.800005,0.496766,0.844687,0.018792,0.136521
-0.600005,0.496766,0.844687,0.018792,0.136521
-0.400005,0.496766,0.844687,0.018792,0.136521
-0.200005,0.496766,0.844687,0.018792,0.136521
-0.000005,0.496766,0.844687,0.018792,0.136521
0.199995,0.491147,0.852414,0.018833,0.128753
0.399995,0.491147,0.852414,0.018833,0.128753
0.599995,0.491147,0.852414,0.018833,0.128753
0.799995,0.491139,0.852426,0.018833,0.128741
0.999995,0.491139,0.852426,0.018833,0.128741
1.199995,0.491139,0.852426,0.018833,0.128741
1.399995,0.491139,0.852426,0.018833,0.128741
1.599995,0.491139,0.852426,0.018833,0.128741
1.799995,0.491139,0.852426,0.018833,0.128741
1.999995,0.491139,0.852426,0.018833,0.128741
2.199995,0.491139,0.852426,0.018833,0.128741
2.399995,0.491139,0.852426,0.018833,0.128741
2.599995,0.491139,0.852426,0.018833,0.128741
2.799995,0.491139,0.852426,0.018833,0.128741
2.999995,0.491139,0.852426,0.018833,0.128741
3.199995,0.491139,0.852426,0.018833,0.128741
3.399995,0.491139,0.852426,0.018833,0.128741
3.599995,0.491139,0.852426,0.018833,0.128741
3.799995,0.491139,0.852426,0.018833,0.128741
3.999995,0.491139,0.852426,0.018833,0.128741
4.199996,0.491139,0.852426,0.018833,0.128741
4.399995,0.491139,0.852426,0.018833,0.128741
4.599995,0.491139,0.852426,0.018833,0.128741
4.799995,0.491139,0.852426,0.018833,0.128741
4.999995,0.491139,0.852426,0.018833,0.128741
5.199995,0.491139,0.852426,0.018833,0.128741
5.399994,0.491139,0.852426,0.018833,0.128741
5.599994,0.491139,0.852426,0.018833,0.128741
5.799994,0.491139,0.852426,0.018833,0.128741
5.999994,0.491139,0.852426,0.018833,0.128741
6.199994,0.491139,0.852426,0.018833,0.128741
6.399993,0.491139,0.852426,0.018833,0.128741
6.599993,0.491139,0.852426,0.018833,0.128741
6.799993,0.491139,0.852426,0.018833,0.128741
6.999993,0.491139,0.852426,0.018833,0.128741
7.199993,0.491139,0.852426,0.018833,0.128741
7.399992,0.491139,0.852426,0.018833,0.128741
7.599992,0.491139,0.852426,0.018833,0.128741
7.799992,0.491139,0.852426,0.018833,0.128741
7.999992,0.491139,0.852426,0.018833,0.128741
8.199992,0.491139,0.852426,0.018833,0.128741
8.399992,0.491139,0.852426,0.018833,0.128741
8.599992,0.491139,0.852426,0.018833,0.128741
8.799992,0.491139,0.852426,0.018833,0.128741
8.999991,0.491139,0.852426,0.018833,0.128741
9.199991,0.491139,0.852426,0.018833,0.128741
9.399991,0.491139,0.852426,0.018833,0.128741
9.599991,0.491139,0.852426,0.018833,0.128741
9.799991,0.491139,0.852426,0.018833,0.128741
9.999990,0.491139,0.852426,0.018833,0.128741
